日本水産,日本水産、同社初の機能性表示食品を5月発売:[健康産業速報],http://www.kenko-media.com/hi_newsflash/009464.html,健康メディア.com,2016-04-14,"日本水産は11日、「海から、健康EPAlife(エパライフ)」ブランドの機能性表示食品5品を発売すると発表した。同社初の機能性表示食品。消費者庁の届出受理を受け、2品を5月14日、3品を7月1日より販売する。
"
日本水産,ニッスイ機能性表示食品5品販売開始/日本水産 プレスリリース【健康美容EXPO】,http://news.e-expo.net/release/2016/04/post-111.html,健康美容EXPO,2016-04-10,"日本水産株式会社では、機能性素材「EPA」を使用したブランド「海から、健康EPAlife(エパライフ)」5品が、このほど機能性表示食品(※1)として消費者庁に受理されました。これを受け、常温食品売場向けの缶詰3品を7月1日より新発売します。また、フィッシュソーセージ売場向け商品2品を5月14日より機能性表示食品として販売開始します。 ※1 機能性表示食品  事業者の責任において、科学的根拠に基づいた機能性を表示した食品です。ただし、特定保健用食品とは異なり、消費者庁の個別の許可を受けたものではありません。EPA・DHAには中性脂肪を下げる効果が認められており、このほど受理された本ブランドの5品は、中性脂肪が気になる方に召し上がっていただきたい機能性表示食品です。なお、これら5品の届出表示は、以下のとおりです。「本品には、EPA・DHAが含まれます。EPA・DHAには中性脂肪値を下げる作用があることが報告されています」。
ニッスイは、青魚に多く含まれるn-3系脂肪酸の一種である「EPA」(エイコサペンタエン酸、eicosapentaenoic acid)を30年以上にわたり研究、1990年より医薬品原料として生産しています。 2015年4月に施行された「機能性表示食品制度」のもと、食の分野でより健康的な生活の維持に役立てていただくため、ニッスイはこのEPAおよびDHAを含有する食品を、「海から、健康EPAlife(エパライフ)」ブランドとして提案しています。  健康維持が期待できるEPA・DHAの摂取量は、1日あたり900mg(※2)です。 本ブランドではこの摂取量を毎日無理なく摂っていただくため、冷凍食品・常温品・日配品・フィッシュソーセージなど、ニッスイが得意とする各分野で品揃えして、これらを組み合わせて召しあがることを提案しています。 本ブランドマークに印された印は、EPA・DHAの摂取量の目安としていただくため、1つあたりEPA・DHA量150mgを含むことを示しており、6つで1日に必要なEPA・DHA量900mgを摂っていただけます。  ※2 日本人を対象にした観察研究JPHC研究 (Circulation. 2006 ;113,195-202)より。 JPHC研究とは:「多目的コホートに基づくがん予防など健康の維持・増進に役立つエビデンスの構築に関する研究」として、いろいろな生活習慣と、がん・脳卒中・心筋梗塞などの病気との関係を明らかにし、日本人の生活習慣病予防や健康寿命の延伸に役立てるため行われている研究です。平成21年度までは厚生労働省がん研究助成金による指定研究班として、平成22年度以降は独立行政法人国立がん研究センターによって実施されています。   【詳細は下記URLをご参照下さい】 ・日本水産株式会社  2016年4月8日発表 ・日本水産株式会社  ホームページ    [ 特 集 ] 5分でわかる機能性表示制度 《更新随時》
"
日本水産,日本水産/機能性表示食品「毎日これ1本EPA+DHAソーセージ」発売 | メーカーニュース,http://makernews.biz/201604116390/,健康美容EXPO,2016-04-10,"
日本水産は5月14日、機能性素材「EPA」を使用したブランド「海から、健康EPAlife(エパライフ)」より、機能性表示食品「毎日これ1本EPA+DHAソーセージ」と「毎日これ1本EPA+DHAチーズ味」を発売する。
「毎日これ1本EPA+DHAソーセージ」は、魚と植物性素材が主原料のフィッシュソーセージ。
1本で1050mgのEPA・DHAを摂取できる。
内容量は100g(2本)。
「毎日これ1本EPA+DHAチーズ味」は、1本で900mgのEPA・DHAを摂取可能。
3種類のチーズ(チェダー・ゴーダ・カマンベール)を使用し、濃厚な味わいだという。
内容量は70g(2本)。
また、7月1日には、同シリーズより機能性表示食品「EPA+DHA配合いわし味噌煮」、「EPA+DHA配合いわし生姜煮」、「EPA+DHA配合いわし梅煮しそ風味」も販売開始する。
それぞれ1缶で900mgのEPA・DHAを摂取できる。
内容量は各100g。
各商品には、EPA・DHAが含まれており、EPA・DHAには中性脂肪値を下げる作用があることが報告されている。
"
日本水産,日本水産、機能性表示5品発売へ 「中性脂肪を下げる」 【速報】 ｜日本食糧新聞・電子版,https://news.nissyoku.co.jp/news/detailNewsFlash/?id=SXHONMIYA20160411014007809,食の情報源,2016-04-12," 日本水産は機能性素材EPAを使用したブランド「海から、健康EPAlife(エパライフ)」シリーズのうち5品を、機能性表示食品として5月および7月から発売する。缶詰3品を7月1日から新発売するとともに、フィッシュソーセージ2品を5月14日から機能性表示食品としてパッケージ変更して販売する。いずれにも「中性脂肪を下げる」と表記する。 缶詰は「EPA+DHA配合 いわし味噌煮」「同 いわし生姜煮」「同 いわし梅煮しそ風味」の3品。フィッシュソーセージは「毎日これ1本 EPA+DH・・・
[全文は電子版会員登録を]
"
日本水産,消費者庁/機能性表示食品に日本水産「EPA+DHA配合 いわし味噌煮」 | メーカーニュース,http://makernews.biz/201603306361-2/,メーカーニュース,2016-03-30,"
消費者庁は3月30日、日本水産「EPA+DHA配合 いわし味噌煮」など6点の機能性表示食品の届け出を受理した、と発表した。
日本水産「EPA+DHA配合 いわし味噌煮」、「EPA+DHA配合 いわし生姜煮」、「EPA+DHA配合 いわし梅煮しそ風味」は、EPA・DHA が含まれる。EPA・DHAには中性脂肪値を下げる作用があることが報告されている。
山田養蜂場「飲むはちみつ酢 りんご味」は、酢酸が含まれる。酢酸には血圧が高めの方に適した機能があることが報告されている。
東洋新薬「セラミドゼリーT」は、米由来グルコシルセラミドが含まれる。米由来グルコシルセラミドには、肌の潤いを守るのを助ける機能があることが報告されている。
アラクス「アラクス健康プラス サラシア」は、サラシア由来サラシノールが含まれる。サラシア由来サラシノールには食後血糖値の上昇を抑える機能があることが報告されている。
"
日本水産,日本水産、「魚譜」ポスターを無償配布 ｜日本食糧新聞・電子版,https://news.nissyoku.co.jp/news/detail/?id=HONMIYA20160311115116542,食の情報源,2016-03-17," 日本水産はこのほど、企業PRポスター「『日本水産魚譜』307選」を作成し、希望者に無償で配布する。このポスターは、ニッスイが創業100周年を迎えた11年5月30日に刊行した『日本水産魚譜』(上野輝彌・坂本一男編著・監修、非売品)に基づいて作成したもの。 魚譜制作は、同社の前身である共同漁業が1920年に設置した早鞆(はやとも)水産研究所において、漁場調査および魚類の研究を目的に着手された。昭和初期から戦後までの間、天然の魚を捕獲してその姿を微細に観察し、1000点を超える魚・・・
[全文は電子版会員登録を]
"
日本水産,消費者庁/機能性表示食品に日本水産「毎日これ1本EPA+DHA ソーセージ」 | メーカーニュース,http://makernews.biz/201603256341-7/,メーカーニュース,2016-03-25,"
消費者庁は3月25日、日本水産「毎日これ1本EPA+DHA ソーセージ」、「毎日これ1本EPA+DHA チーズ味」の機能性表示食品の届け出を受理した、と発表した。
両商品は、EPA・DHA が含まれている。EPA・DHAには、中性脂肪値を下げる作用があることが報告されている。
"
日本水産,衆院:TPP特別委審議見送り 地震対応優先で与野党合意 - 毎日新聞,http://mainichi.jp/articles/20160415/k00/00e/010/199000c,日本農業新聞,2016-04-16,"
衆院環太平洋パートナーシップ協定(TPP)特別委員会は15日午前、実質審議を見送って散会した。自民党と民進党が同日朝の国対委員長会談で、政府による熊本県の地震対応を優先することで合意した。
安倍晋三首相は特別委の冒頭で被災状況を報告し、「警察、消防、自衛隊など3000人超の人員で住民の救命救助に当たっているが、時間との勝負だ」と語った。
政府はこれに先立ち、首相官邸で非常災害対策本部会議を開いた。テレビ会議システムで参加した熊本県の蒲島郁夫知事は「甚大な被害が出ている。激甚災害の早期指定など全面的な支援をお願いしたい」と語った。政府は松本文明副内閣相を団長とする調査団を熊本県に派遣した。【松井豊】
"
日本水産,日本農業新聞 e農ネット - TPP特別委 審議を延期,http://www.agrinews.co.jp/modules/pico/index.php?content_id=36994,日本農業新聞,2016-04-16," 衆院環太平洋連携協定(TPP)特別委員会は15日、安倍晋三首相と閣僚らの熊本県の地震への対応を優先し、質疑に入らず散会した。18日に再度、首相が出席して6時間の審議を行う。ただ、政府・与党が当初描いた日程より1週間以上ずれ込むことになり、今国会での成立には、審議日程は一段と窮屈になった格好だ。
同特別委員会に先立ち、自民、民進両党の国対委員長が会談。震災対応のため、民進党が政治休戦を申し入れ、自民党が受け入れた。その後、同特別委員会理事会で同日の質疑を取りやめ、18日に仕切り直すことを決めた。民進党と共産党が質疑に立つ。
"
日本水産,TPP特別委、審議再開へ/穀田氏会見 ごまかし許されない,http://www.jcp.or.jp/akahata/aik16/2016-04-14/2016041402_01_1.html,日本農業新聞,2016-04-16,"
自民党の佐藤勉国対委員長は13日、民進党の安住淳国対委員長と会談し、野党側が求めてきた衆院環太平洋連携協定(TPP)特別委員会の速やかな審議再開をめぐり、この間の議事運営について遺憾の意を表明しました。中断で持ちこしとなっていた野党の総括的質疑が15日に行われることになりました。
TPP特別委では、政府が国会に黒塗り資料を提出したことが大問題になるなか、8日の総括的質疑で、民進党が、西川公也委員長が出版を予定していた著書『TPPの真実』の校正刷りを示して説明を求めたのに対し、石原伸晃TPP担当相と西川氏が不公正、不誠実な答弁・対応に終始したために審議が中断する事態となっていました。
自民、民進の国対委員長会談を受けて、日本共産党の穀田恵二国対委員長が記者会見し、自民党側に速やかな審議再開を求めた野党側の姿勢について説明しました。
穀田氏は、TPP特別委設置時に、西川氏が中立公正かつ円満に委員会を運営・開催し、十分な資料を提出するよう政府・関係者を指導するとした合意事項を「しっかり守ることが必要だ」と強調しました。
その上で、8日の特別委員会で、大臣と委員長の態度に抗議して民進党が退席した後、西川氏が行った校正刷りの存在を事実上認める発言は、国会テレビに音声を拾われ国民周知の事実となっているとして「西川委員長は、校正刷りの存在を認めるべきだ」と述べました。
穀田氏はさらに、民進党が8日の審議で、校正刷りに関わって、内閣府が民進党に提出した文書が「具体的に執筆に協力した(内閣官房や農林水産省の)職員は確認されなかった」と記しているとただすと、文書の存在も知らないと石原氏が答弁していたと指摘。同じく中断後に、国会テレビが拾った石原氏の発言は「これ以上のことはいえない」「これでがんばるしかない」と述べていることをあげて、「実際は文書を知っていながら、ごまかそうとしていた態度であり、許されない」と厳しく批判しました。
最後に穀田氏は、一部メディアが、政府・与党が「TPP法案の成立先送り」を検討していると伝えていることをあげて、「政府は、審議を再開し、多くの国民の疑問に答えたうえで、TPPを断念すべきだ」と強調しました。
自民、民進の国対委員長会談では、20日に党首討論を行うことも合意しました。
"
日本水産,高知県大豊町の碁石茶の販売額が1億円突破 生産者の活動結実｜高知新聞,http://www.kochinews.co.jp/article/15825/,高知新聞,2016-04-16," 高知県長岡郡大豊町特産の発酵茶として知られる「碁石茶」の2015年の販売額が1億円を突破し、過去最高を記録した。ブランド化や全国での販路の確立など生産者らの地道な活動に加え、2015年春、テレビ番組で紹介されたことで、売り上げが急上昇した。大豊町碁石茶協同組合は「お茶の良さを多くの人に分かってもらえた。持続的に飲んでもらえるように、生産態勢を強化したい」と意気込んでいる。 1930年前後には200戸ほどいた碁石茶生産者は、製造に手間が掛かるなどの理由で1980年代には1戸に激減した。「幻のお茶」とも呼ばれたが、2002年にテレビ番組で紹介されてブームとなり、生産者は多い時で8戸まで増えた。 ただ、品質が不統一で流通態勢も整っていなかったため、売り上げは次第に落ち込み、販売額はここ数年1千万円前後で推移。2013、2014年もそれぞれ1330万円だった。 ところが2015年3月末、テレビ東京系列の健康番組で碁石茶が紹介されたのを機に、再び全国から注文が相次ぎ、一時は品切れ状態に。数年分の在庫も含め、2015年の販売額は1億860万円と、前年の約8倍に増えた。 2014年前の前回のブームと同様に、テレビ番組がきっかけになったが、大豊町碁石茶協同組合の北窪正則副理事長(61)らは「これまでのブランド化や営業活動が実を結んだ」と話す。 大豊町碁石茶協同組合は3年前から営業担当職員1人を置き、関東を中心に高知県内外の卸会社への営業に力を入れてきた。大手業者の流通ルートに乗り始め、都市部のスーパーやデパートなどに商品が並ぶようになっていた。 ただし、1億円は在庫が残っていたために達成できた販売額。大豊町碁石茶協同組合はこれまでの年間生産量約0・5トンを、2016年は1トンに増やす計画で、それに見合う販売額3千万円を目標にしている。大豊町特産の碁石茶。カートカンやティーバッグタイプの商品もある ブランド化推進 海外進出も視野 2002年の最初のブームが落ち着いた後、生産者らは碁石茶の品質向上と販路拡大を模索した。高知大学医学部付属病院や高知県と連携し、製造方法の研究を進めて品質の均一化に取り組んだ。高知大学医学部付属病院によって、動脈硬化やメタボリック症候群の予防効果が確認されるなどの後押しも知名度アップにつながった。 そうした結果、2007年には農林水産省の外郭団体「食品産業センター」が認定する地域食品ブランド「本場の本物」に高知県内で初めて認定された。その後も、パッケージデザインの統一や商標登録など、ブランド化を進めた。 加えて、大豊町碁石茶協同組合が営業に力を入れたことで、都市部などに流通網が広がり、消費者に商品が届きやすくなった。大豊町碁石茶協同組合の北窪正則副理事長は「こつこつと地道に努力すれば、お客さんは付くと信じてやってきた」と振り返る。 また2015年5月、イタリア・ミラノの国際博覧会に出展するなど、近年は欧州でのPRも積極的に行っている。赤ワインに似た碁石茶独特の酸味が好評で、日本での試飲会よりも反応は良いといい、将来的には海外進出も視野に入れる。 北窪副理事長は「海外で認められることで国内での営業活動の売りになる」と相乗効果を期待する。そのためにも生産態勢の拡充は急務で、「品質を保ちながら、増産に取り組む。若い生産者も育てていきたい」と話していた。  碁石茶 江戸時代に中国大陸から伝わったとされる大豊町伝統の発酵茶。蒸した茶葉を寝かしてかび付けした後、おけに漬け込んで乳酸発酵させるという国内でも極めて珍しい2段発酵の製法を受け継いでいる。現在、大豊町碁石茶協同組合には4農家と1法人が加入。
"
